Designator,Mid X,Mid Y,Rotation,Layer
LED15,423.465,-54.9273,0.0,bottom
LED16,442.515,-54.9273,0.0,bottom
LED17,113.9025,-78.7402,0.0,bottom
LED18,132.9525,-78.7402,0.0,bottom
LED19,152.0025,-78.7402,0.0,bottom
LED2,152.0025,-54.9273,0.0,bottom
LED20,171.0525,-78.7402,0.0,bottom
LED21,190.1025,-78.7402,0.0,bottom
LED22,209.1525,-78.7402,0.0,bottom
LED23,228.2025,-78.7402,0.0,bottom
LED24,247.2525,-78.7402,0.0,bottom
LED25,266.3025,-78.7402,0.0,bottom
LED26,285.3525,-78.7402,0.0,bottom
LED27,304.4025,-78.7402,0.0,bottom
LED28,323.4525,-78.7402,0.0,bottom
LED29,342.5025,-78.7402,0.0,bottom
LED3,171.0525,-54.9273,0.0,bottom
LED31,371.0775,-78.7402,0.0,bottom
LED32,404.415,-78.7402,0.0,bottom
LED33,423.465,-78.7402,0.0,bottom
LED34,442.515,-78.7402,0.0,bottom
LED35,118.665,-97.7902,0.0,bottom
LED36,142.4775,-97.7902,0.0,bottom
LED37,161.5275,-97.7902,0.0,bottom
LED38,180.5775,-97.7902,0.0,bottom
LED39,199.6275,-97.7902,0.0,bottom
LED4,190.1025,-54.9273,0.0,bottom
LED40,218.6775,-97.7902,0.0,bottom
LED41,237.7275,-97.7902,0.0,bottom
LED42,256.7775,-97.7902,0.0,bottom
LED43,275.8275,-97.7902,0.0,bottom
LED44,294.8775,-97.7902,0.0,bottom
LED45,313.9275,-97.7902,0.0,bottom
LED46,332.9775,-97.7902,0.0,bottom
LED47,352.0275,-97.7902,0.0,bottom
LED48,375.84,-97.7902,0.0,bottom
LED49,404.415,-97.7902,0.0,bottom
LED5,209.1525,-54.9273,0.0,bottom
LED50,423.465,-97.7902,0.0,bottom
LED51,442.515,-97.7902,0.0,bottom
LED52,128.69,-110.37895,45.0,bottom
LED53,110.14,-114.64145,45.0,bottom
LED54,147.24,-116.8402,0.0,bottom
LED55,166.29,-116.8402,0.0,bottom
LED56,185.34,-116.8402,0.0,bottom
LED57,204.39,-116.8402,0.0,bottom
LED58,223.44,-116.8402,0.0,bottom
LED59,242.49,-116.8402,0.0,bottom
LED6,237.7275,-54.9273,0.0,bottom
LED60,261.54,-116.8402,0.0,bottom
LED61,280.59,-116.8402,0.0,bottom
LED62,299.64,-116.8402,0.0,bottom
LED63,318.69,-116.8402,0.0,bottom
LED64,337.74,-116.8402,0.0,bottom
LED65,368.69625,-116.8402,0.0,bottom
LED66,125.80875,-135.8902,0.0,bottom
LED67,156.765,-135.8902,0.0,bottom
LED68,175.815,-135.8902,0.0,bottom
LED69,194.865,-135.8902,0.0,bottom
LED7,256.7775,-54.9273,0.0,bottom
LED70,213.915,-135.8902,0.0,bottom
LED71,232.965,-135.8902,0.0,bottom
LED72,252.015,-135.8902,0.0,bottom
LED73,271.065,-135.8902,0.0,bottom
LED74,290.115,-135.8902,0.0,bottom
LED75,309.165,-135.8902,0.0,bottom
LED76,328.215,-135.8902,0.0,bottom
LED77,363.93375,-135.8902,0.0,bottom
LED78,423.465,-135.8902,0.0,bottom
LED79,116.28375,-154.9402,0.0,bottom
LED8,275.8275,-54.9273,0.0,bottom
LED80,140.09625,-154.9402,0.0,bottom
LED81,163.90875,-154.9402,0.0,bottom
LED82,192.5199,-154.9402,0.0,bottom
LED83,306.78375,-154.9402,0.0,bottom
LED84,330.59625,-154.9402,0.0,bottom
LED85,354.40875,-154.9402,0.0,bottom
LED86,378.22125,-154.9402,0.0,bottom
LED87,404.415,-154.9402,0.0,bottom
LED88,423.465,-154.9402,0.0,bottom
LED89,442.515,-154.9402,0.0,bottom
LED9,294.8775,-54.9273,0.0,bottom
LED90,278.2467,-154.9402,0.0,bottom
LED92,235.3833,-154.9402,0.0,bottom
MX1,113.9025,-49.8473,0.0,bottom
MX10,323.4525,-49.8473,0.0,bottom
MX11,342.5025,-49.8473,0.0,bottom
MX12,361.5525,-49.8473,0.0,bottom
MX13,380.6025,-49.8473,0.0,bottom
MX14,404.415,-49.8473,0.0,bottom
MX15,423.465,-49.8473,0.0,bottom
MX16,441.88,-47.5573,180.0,top
MX17,113.9025,-73.6602,0.0,bottom
MX18,132.9525,-73.6602,0.0,bottom
MX19,152.0025,-73.6602,0.0,bottom
MX2,152.0025,-49.8473,0.0,bottom
MX20,171.0525,-73.6602,0.0,bottom
MX21,190.1025,-73.6602,0.0,bottom
MX22,209.1525,-73.6602,0.0,bottom
MX23,228.2025,-73.6602,0.0,bottom
MX24,247.2525,-73.6602,0.0,bottom
MX25,266.3025,-73.6602,0.0,bottom
MX26,285.3525,-73.6602,0.0,bottom
MX27,304.4025,-73.6602,0.0,bottom
MX28,323.4525,-73.6602,0.0,bottom
MX29,342.5025,-73.6602,0.0,bottom
MX3,171.0525,-49.8473,0.0,bottom
MX31,371.0775,-73.6602,0.0,bottom
MX32,404.415,-73.6602,0.0,bottom
MX33,423.465,-73.6602,0.0,bottom
MX34,442.515,-73.6602,0.0,bottom
